numero,grupo,grupo_nombre,visual,audio,texto_es,texto_en
50,3,Cambio y Transición,"Hojas de otoño cayendo suavemente","Sonido de viento suave entre árboles","¿Ves el 50? El Universo inicia un cambio profundo en tu vida. Respira y confía: lo que llega es infinitamente mejor que lo que dejas.","Seeing 50? The Universe initiates a deep change in your life. Breathe and trust: what arrives is infinitely better than what you leave."
51,3,Cambio y Transición,"Sendero entre árboles con luz filtrada","Viento suave con notas de piano","¿El 51 aparece? Tus pensamientos positivos aceleran el cambio que necesitas. La Energía Cósmica transforma tu realidad ahora mismo.","Is 51 appearing? Your positive thoughts accelerate the change you need. The Cosmic Energy transforms your reality right now."
52,3,Cambio y Transición,"Camino de tierra con brisa moviendo las hojas","Ritmo suave de viento con melodía esperanzadora","¿Ves el 52? Mantén la fe mientras este cambio se desarrolla. Todo está bien y la Guía Divina te lleva hacia algo hermoso.","Seeing 52? Keep faith while this change unfolds. Everything is fine and the Divine Guidance leads you toward something beautiful."
53,3,Cambio y Transición,"Bosque con hojas verdes moviéndose al viento","Viento con coros sutiles de fondo","¿Apareció el 53? Tus guías espirituales orquestan este cambio con amor. Confía en la transición, estás siendo elevado a algo mayor.","Did 53 appear? Your spiritual guides orchestrate this change with love. Trust the transition, you are being elevated to something greater."
54,3,Cambio y Transición,"Sendero luminoso con flores silvestres","Sonido de brisa con campanillas suaves","¿El 54 te busca? Este cambio tiene protección cósmica. La Energía Cósmica cuida cada detalle de tu transformación. Avanza sin miedo.","Is 54 finding you? This change has cosmic protection. The Cosmic Energy tends to every detail of your transformation. Move forward fearlessly."
55,3,Cambio y Transición,"Cascada de hojas doradas en un bosque","Viento intenso con ritmo de renovación","¿Ves el 55? Adiós a lo viejo, bienvenida a lo nuevo. Dale la bienvenida a estos cambios: traen bendiciones poderosas para ti.","Seeing 55? Goodbye to the old, welcome to the new. Embrace these changes: they bring powerful blessings for you."
56,3,Cambio y Transición,"Camino ventoso con vista al horizonte","Brisa con sonidos de agua lejana","¿Apareció el 56? Mientras cambias, suelta la preocupación por lo material. El Universo provee durante cada transición de tu vida.","Did 56 appear? As you change, release worry about material things. The Universe provides during every transition in your life."
57,3,Cambio y Transición,"Sendero ascendente entre árboles iluminados","Viento suave con piano inspirador","¿El 57 te sigue? Este cambio te pone en el camino correcto. La magia del Universo abre nuevas puertas mientras avanzas con confianza.","Is 57 following you? This change puts you on the right path. The Universe's magic opens new doors as you move forward with confidence."
58,3,Cambio y Transición,"Hojas flotando sobre un río tranquilo","Brisa con sonidos de agua fluyendo","¿Ves el 58? La abundancia llega con este cambio. Fluye con la transformación y prepárate para recibir la prosperidad que mereces.","Seeing 58? Abundance arrives with this change. Flow with the transformation and get ready to receive the prosperity you deserve."
59,3,Cambio y Transición,"Bosque profundo con luz al final del sendero","Viento con cuencos tibetanos de fondo","¿Apareció el 59? Este cambio revela tu propósito de vida. La Energía Cósmica te transforma para que cumplas tu misión sagrada.","Did 59 appear? This change reveals your life purpose. The Cosmic Energy transforms you so you can fulfill your sacred mission."
60,2,Flujo y Abundancia,"Mar turquesa con olas suaves en la orilla","Sonidos de mar con melodía fluida","¿Ves el 60? Equilibra tu atención entre lo espiritual y lo material. Tu espíritu es la fuente de todo en tu vida. Regresa al centro.","Seeing 60? Balance your attention between the spiritual and the material. Your spirit is the source of everything in your life. Return to center."
61,2,Flujo y Abundancia,"Lago cristalino reflejando el cielo","Agua fluyendo con piano suave","¿El 61 aparece? Suelta la preocupación y deja que tus pensamientos positivos atraigan la provisión perfecta. El Universo te escucha.","Is 61 appearing? Release worry and let your positive thoughts attract perfect provision. The Universe hears you."
62,2,Flujo y Abundancia,"Río tranquilo entre piedras pulidas","Sonido de agua con melodía esperanzadora","¿Ves el 62? Mantén la fe mientras sueltas lo material. La Guía Divina asegura que todo lo que necesitas ya viene en camino.","Seeing 62? Keep faith while releasing the material. The Divine Guidance ensures everything you need is already on its way."
63,2,Flujo y Abundancia,"Cascada suave en un jardín tropical","Agua cayendo con coros sutiles","¿Apareció el 63? Tus guías espirituales te liberan de la carga material. Confía: la provisión del Universo llega de formas inesperadas.","Did 63 appear? Your spiritual guides release you from material burden. Trust: the Universe's provision arrives in unexpected ways."
64,2,Flujo y Abundancia,"Mar en calma bajo cielo azul infinito","Olas suaves con campanillas de fondo","¿El 64 te busca? La Energía Cósmica te protege financieramente. Suelta el estrés y permite que la paz atraiga abundancia a tu vida.","Is 64 finding you? The Cosmic Energy protects you financially. Release stress and allow peace to attract abundance to your life."
65,2,Flujo y Abundancia,"Río entre montañas verdes con brisa suave","Agua fluyendo con ritmo de transición","¿Ves el 65? Cambios positivos llegan a tu hogar, trabajo y relaciones. Sigue tu verdad interior y recibe las bendiciones que mereces.","Seeing 65? Positive changes arrive in your home, work, and relationships. Follow your inner truth and receive the blessings you deserve."
66,2,Flujo y Abundancia,"Lago sereno al amanecer con neblina suave","Sonidos de agua profundos y envolventes","¿Apareció el 66? El estrés bloquea la guía del Universo. Medita, respira en silencio y abre tu ser a la paz que siempre te acompaña.","Did 66 appear? Stress blocks the Universe's guidance. Meditate, breathe in silence, and open yourself to the peace that always surrounds you."
67,2,Flujo y Abundancia,"Cascada brillante con arcoíris sutil","Agua cayendo con piano luminoso","¿El 67 te sigue? Estás en el camino correcto para resolver lo material. La magia del Universo abre canales de provisión inesperados.","Is 67 following you? You are on the right path to resolving the material. The Universe's magic opens unexpected channels of provision."
68,2,Flujo y Abundancia,"Mar abierto con horizonte infinito","Olas profundas con música majestuosa","¿Ves el 68? Suelta la preocupación y recibe la abundancia. El Universo te confirma: un flujo infinito de prosperidad te pertenece.","Seeing 68? Release worry and receive abundance. The Universe confirms: an infinite flow of prosperity belongs to you."
69,2,Flujo y Abundancia,"Río caudaloso al atardecer con cielo dorado","Agua fluyendo con cuerdas emotivas","¿Apareció el 69? Suelta lo material y enfócate en tu propósito. Cuando sirves a tu misión, la Energía Cósmica provee automáticamente.","Did 69 appear? Release the material and focus on your purpose. When you serve your mission, the Cosmic Energy provides automatically."
70,4,Fe y Manifestación,"Bosque con rayos de sol dorados (godrays)","Piano con melodía triunfal","¿Ves el 70? El Universo celebra tu camino. Cada paso correcto que has dado se multiplica en bendiciones. Sigue adelante con confianza.","Seeing 70? The Universe celebrates your path. Every right step you have taken multiplies into blessings. Keep moving forward with confidence."
71,4,Fe y Manifestación,"Camino dorado entre campos iluminados","Piano inspirador con crescendo","¿El 71 aparece? Estás en el camino correcto y tus pensamientos lo confirman. La Guía Divina manifiesta lo que tu mente proyecta.","Is 71 appearing? You are on the right path and your thoughts confirm it. The Divine Guidance manifests what your mind projects."
72,4,Fe y Manifestación,"Puerta luminosa en medio de un jardín","Piano con notas de esperanza","¿Ves el 72? Tu fe abre la puerta correcta. La Energía Cósmica confirma: mantén la esperanza, todo se resuelve perfectamente.","Seeing 72? Your faith opens the right door. The Cosmic Energy confirms: keep hope alive, everything resolves perfectly."
73,4,Fe y Manifestación,"Bosque luminoso con sendero ascendente","Piano con coros suaves de fondo","¿Apareció el 73? Tus guías espirituales iluminan tu camino. La magia del Universo y el apoyo invisible te llevan hacia tu destino.","Did 73 appear? Your spiritual guides illuminate your path. The Universe's magic and invisible support carry you toward your destiny."
74,4,Fe y Manifestación,"Camino entre árboles con luz dorada","Piano gentil con campanillas sutiles","¿El 74 te busca? La protección cósmica confirma tu camino correcto. La Guía Divina cuida cada paso mientras la magia se despliega.","Is 74 finding you? Cosmic protection confirms your right path. The Divine Guidance tends every step while the magic unfolds."
75,4,Fe y Manifestación,"Sendero iluminado con hojas al viento","Piano con ritmo de transformación","¿Ves el 75? Un cambio que confirma tu camino correcto. El Universo transforma tu vida para alinearte con tu más alto potencial.","Seeing 75? A change that confirms your right path. The Universe transforms your life to align you with your highest potential."
76,4,Fe y Manifestación,"Puerta abierta con luz dorada y mar al fondo","Piano con sonidos de agua suaves","¿Apareció el 76? Suelta la preocupación material. Estás en el camino correcto y la Guía Divina provee mientras avanzas con fe.","Did 76 appear? Release material worry. You are on the right path and the Divine Guidance provides as you move forward with faith."
77,4,Fe y Manifestación,"Doble arcoíris sobre un paisaje verde","Piano doble con notas de celebración","¿El 77 te persigue? Doble confirmación: estás exactamente donde debes estar. La magia del Universo trabaja a tu favor. Celebra.","Is 77 following you? Double confirmation: you are exactly where you need to be. The Universe's magic works in your favor. Celebrate."
78,4,Fe y Manifestación,"Bosque con camino dorado hacia el horizonte","Piano majestuoso con arpegios","¿Ves el 78? Tu camino correcto desbloquea abundancia infinita. El Universo recompensa tu fidelidad al camino con prosperidad real.","Seeing 78? Your right path unlocks infinite abundance. The Universe rewards your faithfulness to the path with real prosperity."
79,4,Fe y Manifestación,"Camino ascendente con vista panorámica","Piano profundo con cuerdas emotivas","¿Apareció el 79? Tu camino correcto revela tu propósito de vida. La Energía Cósmica te dice: es hora de brillar y servir al mundo.","Did 79 appear? Your right path reveals your life purpose. The Cosmic Energy tells you: it is time to shine and serve the world."
80,2,Flujo y Abundancia,"Cascada majestuosa con arcoíris de luz","Sonidos de agua poderosos con música épica","¿Ves el 80? El Universo abre las compuertas de la abundancia. La provisión cósmica llega en torrentes. Prepárate para la prosperidad.","Seeing 80? The Universe opens the floodgates of abundance. Cosmic provision arrives in torrents. Get ready for prosperity."
81,2,Flujo y Abundancia,"Río ancho fluyendo con fuerza bajo el sol","Agua caudalosa con piano de triunfo","¿El 81 aparece? Tu prosperidad se manifiesta ahora. Cada pensamiento positivo multiplica el flujo de abundancia que el Universo envía.","Is 81 appearing? Your prosperity manifests now. Every positive thought multiplies the flow of abundance the Universe sends."
82,2,Flujo y Abundancia,"Mar cristalino con horizonte infinito","Olas rítmicas con melodía esperanzadora","¿Ves el 82? Mantén la fe en tu abundancia. La Guía Divina confirma que la prosperidad ya viaja hacia ti. Solo cree y recibe.","Seeing 82? Keep faith in your abundance. The Divine Guidance confirms that prosperity is already traveling toward you. Just believe and receive."
83,2,Flujo y Abundancia,"Cascada entre rocas con vegetación exuberante","Agua fluyendo con coros celestiales","¿Apareció el 83? Tus guías espirituales activan el flujo de prosperidad en tu vida. La abundancia y el apoyo invisible se unen para ti.","Did 83 appear? Your spiritual guides activate the flow of prosperity in your life. Abundance and invisible support unite for you."
84,2,Flujo y Abundancia,"Lago tranquilo reflejando cielo con nubes","Agua serena con campanillas de fondo","¿El 84 te busca? La protección cósmica cuida tu prosperidad. El Universo asegura que la abundancia que recibes está protegida y es duradera.","Is 84 finding you? Cosmic protection guards your prosperity. The Universe ensures the abundance you receive is protected and lasting."
85,2,Flujo y Abundancia,"Río entre montañas con corriente fuerte","Agua fluyendo con ritmo de cambio","¿Ves el 85? Un cambio abre nuevos canales de abundancia. La Energía Cósmica redirige la prosperidad hacia ti de formas inesperadas.","Seeing 85? A change opens new channels of abundance. The Cosmic Energy redirects prosperity toward you in unexpected ways."
86,2,Flujo y Abundancia,"Mar en calma con atardecer dorado","Olas suaves con música pacífica profunda","¿Apareció el 86? Doble mensaje de provisión: suelta la preocupación y recibe la abundancia. El Universo te da paz y prosperidad juntas.","Did 86 appear? Double message of provision: release worry and receive abundance. The Universe gives you peace and prosperity together."
87,2,Flujo y Abundancia,"Cascada brillante con camino luminoso","Agua cayendo con piano optimista","¿El 87 te sigue? Tu abundancia y tu camino correcto se fusionan. La Guía Divina confirma: la prosperidad te encuentra cuando sigues tu verdad.","Is 87 following you? Your abundance and your right path merge. The Divine Guidance confirms: prosperity finds you when you follow your truth."
88,2,Flujo y Abundancia,"Océano vasto con olas poderosas y sol","Sonidos de agua majestuosos y envolventes","¿Ves el 88? Abundancia infinita al cuadrado. El Universo abre todos los canales de prosperidad simultáneamente. Recibe sin límites.","Seeing 88? Infinite abundance squared. The Universe opens all channels of prosperity simultaneously. Receive without limits."
89,2,Flujo y Abundancia,"Río dorado fluyendo hacia el horizonte","Agua fluyendo con cuerdas profundas","¿Apareció el 89? La abundancia te llama a cumplir tu propósito. La Energía Cósmica te prospera para que puedas servir al mundo.","Did 89 appear? Abundance calls you to fulfill your purpose. The Cosmic Energy prospers you so you can serve the world."
90,5,Propósito y Elevación,"Montañas al amanecer con cielo violeta","Cuencos tibetanos con resonancia cósmica","¿Ves el 90? El Universo confirma tu propósito. Tu misión de vida está clara. Es momento de actuar con valentía y fe absoluta.","Seeing 90? The Universe confirms your purpose. Your life mission is clear. It is time to act with courage and absolute faith."
91,5,Propósito y Elevación,"Cima de montaña con rayos de sol nacientes","Cuencos con piano inspirador","¿El 91 aparece? Tu propósito de vida se manifiesta a través de tus pensamientos positivos. La Guía Divina enciende tu camino ahora.","Is 91 appearing? Your life purpose manifests through your positive thoughts. The Divine Guidance lights your path now."
92,5,Propósito y Elevación,"Panorámica de cordillera con cielo despejado","Coros sutiles con melodía de esperanza","¿Ves el 92? Mantén la fe en tu misión. La Energía Cósmica te confirma que tu propósito se despliega perfectamente. Confía y actúa.","Seeing 92? Keep faith in your mission. The Cosmic Energy confirms your purpose unfolds perfectly. Trust and act."
93,5,Propósito y Elevación,"Montañas sagradas con nubes dramáticas","Cuencos tibetanos dobles con coros","¿Apareció el 93? Tus guías espirituales amplifican tu propósito. El apoyo invisible se intensifica. Estás siendo preparado para algo grandioso.","Did 93 appear? Your spiritual guides amplify your purpose. Invisible support intensifies. You are being prepared for something grand."
94,5,Propósito y Elevación,"Vista aérea de montañas con luz dorada","Cuencos con campanillas celestiales","¿El 94 te busca? Tu propósito tiene protección cósmica absoluta. La Energía Cósmica blinda tu misión mientras das cada paso con fe.","Is 94 finding you? Your purpose has absolute cosmic protection. The Cosmic Energy shields your mission as you take each step with faith."
95,5,Propósito y Elevación,"Cima con viento moviendo la vegetación","Cuencos tibetanos con sonido de viento","¿Ves el 95? Un cambio te acerca a tu verdadero propósito. Suelta lo que ya no sirve y deja que la Guía Divina te eleve.","Seeing 95? A change brings you closer to your true purpose. Release what no longer serves and let the Divine Guidance elevate you."
96,5,Propósito y Elevación,"Montaña junto a un lago sereno","Cuencos con sonidos de agua tranquila","¿Apareció el 96? Suelta lo material para abrazar tu propósito. El Universo provee automáticamente cuando te alineas con tu misión.","Did 96 appear? Release the material to embrace your purpose. The Universe provides automatically when you align with your mission."
97,5,Propósito y Elevación,"Panorámica de montañas con sendero dorado","Cuencos tibetanos con piano triunfal","¿El 97 te sigue? Estás en el camino correcto hacia tu propósito de vida. La magia del Universo confirma cada decisión valiente.","Is 97 following you? You are on the right path to your life purpose. The Universe's magic confirms every courageous decision."
98,5,Propósito y Elevación,"Cumbre con vista al mar infinito","Cuencos con música majestuosa de cuerdas","¿Ves el 98? Tu propósito y la abundancia se unen. La Energía Cósmica te prospera mientras cumples la misión que viniste a realizar.","Seeing 98? Your purpose and abundance unite. The Cosmic Energy prospers you as you fulfill the mission you came to accomplish."
99,5,Propósito y Elevación,"Montañas épicas con cielo estrellado","Cuencos tibetanos profundos con coros épicos","¿Apareció el 99? Doble llamado a tu misión. El Universo dice: el mundo necesita tu luz ahora. No esperes más, tu momento es hoy.","Did 99 appear? Double call to your mission. The Universe says: the world needs your light now. Wait no more, your moment is today."
